,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
368,Into the Badlands ,81.0,81,96,94,nan,nan
369,The Manchurian Candidate (2004),66.0,76,97,92,80000000 ,65955630
370,Eyes Without a Face (1960),78.0,90,99,95,nan,52709
371,The Conversation (1974),79.0,86,100,91,nan,4420000
372,Goldfinger (1964),77.0,87,100,89,nan,51081062
373,Eye in the Sky (2015),73.0,73,97,87,13000000 ,18700837
374,Casino Royale (2006),80.0,80,97,66,150000000 ,Opening
375,Blood Simple. (1984),76.0,81,97,87,nan,2150000
376,Bridge of Spies (2015),76.0,81,91,57,40000000 ,72313754
377,The Road Warrior (1981),76.0,77,95,91,nan,12465371
378,Burlesque (2010),64.0,47,98,89,55000000 ,39440655
379,Jurassic Park (1993),81.0,68,96,83,63000000 ,402453882
380,Elevator to the Gallows (1958),80.0,94,95,95,nan,109257
381,Ex Machina (2014),77.0,78,93,89,15000000 ,25442958
382,Three Colors: Blue (1993),80.0,85,95,89,nan,1324974
383,In the Heat of the Night ,75.0,75,96,77,nan,nan
384,Blue Ruin (2013),71.0,77,98,88,1066167 ,258113
385,Blue Velvet (1986),78.0,76,96,86,6000000 ,8551228
386,To Catch a Thief (1955),75.0,75,91,74,nan,8750000
387,The Imitation Game (2014),80.0,73,96,75,14000000 ,91125683
388,Gone Girl (2014),81.0,79,92,62,61000000 ,167767189
389,Wild Tales (2014),81.0,77,94,81,3300000 ,3107072
390,10 Cloverfield Lane (2016),72.0,76,93,76,15000000 ,71897215
391,Children of Men (2006),79.0,84,95,84,76000000 ,Opening
392,The Crying Game (1992),73.0,90,93,92,£2300000 ,62549000
393,The Dark Knight Rises (2012),84.0,78,95,82,250000000 ,Opening
394,The Umbrellas of Cherbourg (1964),79.0,86,98,74,nan,18425
395,Sing Street (2016),80.0,79,96,88,nan,3237118
396,Once (2007),79.0,88,94,83,€180000 ,9439923
397,Anvil: The Story of Anvil (2008),79.0,82,95,60,nan,666659
398,West Side Story (1961),76.0,86,94,55,nan,43656822
399,Waste Land (2010),79.0,78,94,83,1500000 ,187716
400,Amadeus (1984),83.0,93,93,72,18000000 ,51973029
401,Afghan Star (2009),73.0,78,92,83,nan,101543
402,Hairspray (2007),67.0,81,92,93,nan,118871849
403,Sound City (2013),78.0,76,90,86,nan,422417
404,We Are the Best! (2013),72.0,87,91,81,nan,180222
405,My Fair Lady (1964),79.0,79,92,92,17000000 ,72000000
406,Bill Cunningham: New York (2010),79.0,76,87,44,nan,1510026
407,Beware of Mr. Baker (2012),77.0,78,93,90,nan,114271
408,Keep on Keepin' On (2014),77.0,77,91,83,nan,nan
409,Wordplay (2006),74.0,73,88,78,nan,3117666
410,Muscle Shoals (2013),77.0,75,95,48,nan,695625
411,The Full Monty (1997),72.0,75,90,82,3500000 ,45950122
412,Marley (2012),80.0,82,88,81,nan,1413480
413,Searching for Sugar Man (2012),82.0,79,87,70,nan,3965090
414,The Beaches of Agnès (2008),80.0,86,87,56,nan,239711
415,Exit Through the Gift Shop (2010),80.0,85,86,83,nan,3291250
416,"20,000 Days on Earth (2014)",75.0,83,86,87,nan,277770
417,Nashville ,77.0,77,90,76,nan,nan
418,Crumb (1994),80.0,93,87,76,nan,3174695
419,Marina Abramovic: The Artist Is Present (2012),79.0,74,87,85,nan,86217
420,Los Angeles Plays Itself (2003),80.0,86,89,89,nan,nan
421,49 Up (2005),82.0,84,86,93,nan,238073
422,Straight Outta Compton (2015),79.0,72,90,70,28000000 ,161197785
423,Lagaan: Once Upon a Time in India (2001),81.0,84,90,73,6000000 ,70147
424,Hedwig and the Angry Inch (2001),78.0,85,87,86,6000000 ,3029081
425,Crazy Heart (2009),73.0,83,91,64,7000000 ,39462438
426,My Kid Could Paint That (2007),72.0,74,90,72,nan,231274
427,End of the Century (2003),80.0,74,86,71,nan,391950
428,Dave Chappelle's Block Party (2005),72.0,84,88,85,3000000 ,11694528
429,The Sapphires (2012),71.0,67,88,74,10000000 ,2448455
430,U2 3D (2007),84.0,83,86,78,nan,10353690
431,A Band Called Death (2012),75.0,77,86,71,nan,nan
